epoch,accuracy,loss,val_accuracy,val_loss
0,0.39468303322792053,1.8621166944503784,0.18852458894252777,1.5751134157180786
1,0.3394683003425598,1.2749223709106445,0.18852458894252777,1.7232227325439453
2,0.40695297718048096,1.1553006172180176,0.18852458894252777,1.4219422340393066
3,0.42126789689064026,0.993579089641571,0.1803278625011444,1.3690009117126465
4,0.4683026671409607,0.9653098583221436,0.2049180269241333,1.2312573194503784
5,0.4621676802635193,1.0851541757583618,0.28688523173332214,1.1789032220840454
6,0.45807769894599915,1.0581085681915283,0.3196721374988556,1.0753830671310425
7,0.4601227045059204,1.0061603784561157,0.4836065471172333,0.9318791627883911
8,0.48670756816864014,1.0223559141159058,0.5573770403862,0.8506446480751038
9,0.48261758685112,0.9620665311813354,0.631147563457489,0.8272591829299927
10,0.46625766158103943,0.9542961120605469,0.5491803288459778,0.8372467756271362
11,0.4621676802635193,0.980455756187439,0.6803278923034668,0.7838782668113708
12,0.5173823833465576,0.914361834526062,0.5983606576919556,0.9012340903282166
13,0.5480572581291199,0.9149072766304016,0.6229507923126221,0.8170558214187622
14,0.5276073813438416,0.945414125919342,0.5819672346115112,0.8408610820770264
15,0.5501022338867188,0.8795657157897949,0.5655737519264221,0.9410786628723145
16,0.5276073813438416,0.8386456370353699,0.5491803288459778,0.9888489246368408
