epoch,accuracy,loss,val_accuracy,val_loss
0,0.5261043906211853,0.8332968950271606,0.672897219657898,0.6791978478431702
1,0.5120481848716736,0.7354665398597717,0.7850467562675476,0.6172393560409546
2,0.5441766977310181,0.7132485508918762,0.7943925261497498,0.603813648223877
3,0.5622490048408508,0.602841854095459,0.5887850522994995,0.6692585945129395
4,0.6124498248100281,0.7656589150428772,0.7383177280426025,0.5563818216323853
5,0.5702811479568481,0.7369092106819153,0.5981308221817017,0.6567757725715637
6,0.6285140514373779,0.7432324290275574,0.6915887594223022,0.5943371057510376
7,0.6044176816940308,0.7166113257408142,0.663551390171051,0.635906457901001
8,0.6345381736755371,0.5531221628189087,0.7102803587913513,0.5747736692428589
9,0.6204819083213806,0.7373704314231873,0.663551390171051,0.5892903208732605
10,0.6305220723152161,0.6323660016059875,0.6822429895401001,0.5705264210700989
