epoch,accuracy,loss,val_accuracy,val_loss
0,0.5381526350975037,0.8471417427062988,0.6822429895401001,0.6620435118675232
1,0.5020080208778381,0.7231768369674683,0.5981308221817017,0.6457508206367493
2,0.5341365337371826,0.6978074908256531,0.7757009267807007,0.5923125147819519
3,0.5722891688346863,0.6256727576255798,0.644859790802002,0.6220373511314392
4,0.5983935594558716,0.7435904741287231,0.7102803587913513,0.5542952418327332
5,0.5461847186088562,0.7404199838638306,0.7102803587913513,0.5655345916748047
6,0.5983935594558716,0.8406234979629517,0.6261682510375977,0.6076352596282959
7,0.5943775177001953,0.7214495539665222,0.6542056202888489,0.5634914040565491
8,0.6104417443275452,0.5968209505081177,0.7289719581604004,0.5301356315612793
9,0.6104417443275452,0.6395029425621033,0.7289719581604004,0.5313006639480591
10,0.5943775177001953,0.8189865350723267,0.7476635575294495,0.6032000184059143
11,0.5823293328285217,0.7231361269950867,0.4392523467540741,0.8797016143798828
12,0.564257025718689,0.6676700711250305,0.6074766516685486,0.667509138584137
13,0.672690749168396,0.670615017414093,0.5607476830482483,0.7586426138877869
14,0.6004015803337097,0.7062793970108032,0.6822429895401001,0.6718336939811707
