Model,CV Mean,CV Std,Test Accuracy,Macro F1,Params,Size,ms/sample
Stage-1 (binary),,,0.803030303030303,0.6689814814814815,40641,210068,0.27182896931966144
Stage-2 (subtype),,,0.6666666666666666,0.4477272727272727,40641,545332,0.3073555451852304
Cascaded (Stage1+Stage2),0.7251765960282555,0.06934462296147573,0.553030303030303,0.4133838383838384,81282,,
3-class baseline,0.6202985525131226,0.06866272090242072,0.42424242424242425,0.36672350099460077,40771,213454,0.2750577348651308
