epoch,accuracy,loss,val_accuracy,val_loss
0,0.34355828166007996,1.4538241624832153,0.1803278625011444,1.6062992811203003
1,0.42331287264823914,1.086163878440857,0.19672131538391113,1.7376526594161987
2,0.37218815088272095,1.0631850957870483,0.30327868461608887,1.3614853620529175
3,0.453987717628479,0.9743899703025818,0.3852458894252777,1.0750561952590942
4,0.43558281660079956,0.9430246353149414,0.7131147384643555,0.8681336641311646
5,0.45603272318840027,1.0827927589416504,0.4508196711540222,0.9487472176551819
6,0.4314928352832794,1.0656391382217407,0.3606557250022888,1.0666075944900513
7,0.44989773631095886,0.9193360209465027,0.3852458894252777,1.0211365222930908
8,0.42331287264823914,0.9269008040428162,0.631147563457489,0.8646194934844971
9,0.5010225176811218,0.9113157987594604,0.7131147384643555,0.799328625202179
10,0.48466256260871887,1.0749794244766235,0.6721311211585999,0.8139292001724243
11,0.5501022338867188,0.8802241086959839,0.6803278923034668,0.8203006386756897
12,0.49284252524375916,0.897688627243042,0.7131147384643555,0.7476385235786438
13,0.4683026671409607,0.9442774057388306,0.7049180269241333,0.7876765727996826
14,0.5255623459815979,0.8570449948310852,0.5327869057655334,0.9156181216239929
15,0.5010225176811218,0.853376030921936,0.6639344096183777,0.8511452674865723
16,0.5480572581291199,0.8371561169624329,0.6721311211585999,0.8117069005966187
17,0.5010225176811218,0.825800359249115,0.5737704634666443,0.8896504640579224
